Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter
01/12/2017,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
01/12/2017,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
01/12/2017,600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
01/12/2017,405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
02/12/2017,328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
02/12/2017,308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
02/12/2017,89,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
02/12/2017,388,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
03/12/2017,13,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0
03/12/2017,85,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
03/12/2017,333,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,1,1,0.0,0.0,0.0,1.0
03/12/2017,563,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,1,1,0.0,0.0,0.0,1.0
03/12/2017,621,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,186,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,200,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,498,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,509,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,379,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,515,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
04/12/2017,397,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
05/12/2017,62,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
05/12/2017,42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
